season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1995,1,1995-09-03T00:00:00+00:00,Bears,31,14,Vikings
1995,1,1995-09-03T00:00:00+00:00,Broncos,22,7,Bills
1995,1,1995-09-03T00:00:00+00:00,Colts,21,24,Bengals
1995,1,1995-09-03T00:00:00+00:00,Dolphins,52,14,Jets
1995,1,1995-09-03T00:00:00+00:00,Eagles,6,21,Buccaneers
1995,1,1995-09-03T00:00:00+00:00,Falcons,23,20,Panthers
1995,1,1995-09-03T00:00:00+00:00,Jaguars,3,10,Oilers
1995,1,1995-09-03T00:00:00+00:00,Packers,14,17,Rams
1995,1,1995-09-03T00:00:00+00:00,Patriots,17,14,Browns
1995,1,1995-09-03T00:00:00+00:00,Raiders,17,7,Chargers
1995,1,1995-09-03T00:00:00+00:00,Redskins,27,7,Cardinals
1995,1,1995-09-03T00:00:00+00:00,Saints,22,24,49ers
1995,1,1995-09-03T00:00:00+00:00,Seahawks,10,34,Chiefs
1995,1,1995-09-03T00:00:00+00:00,Steelers,23,20,Lions
1995,1,1995-09-04T00:00:00+00:00,Giants,0,35,Cowboys
1995,2,1995-09-10T00:00:00+00:00,49ers,41,10,Falcons
1995,2,1995-09-10T00:00:00+00:00,Bengals,24,17,Jaguars
1995,2,1995-09-10T00:00:00+00:00,Bills,31,9,Panthers
1995,2,1995-09-10T00:00:00+00:00,Browns,22,6,Buccaneers
1995,2,1995-09-10T00:00:00+00:00,Cardinals,19,31,Eagles
1995,2,1995-09-10T00:00:00+00:00,Chargers,14,10,Seahawks
1995,2,1995-09-10T00:00:00+00:00,Chiefs,20,17,Giants
1995,2,1995-09-10T00:00:00+00:00,Cowboys,31,21,Broncos
1995,2,1995-09-10T00:00:00+00:00,Jets,24,27,Colts
1995,2,1995-09-10T00:00:00+00:00,Oilers,17,34,Steelers
1995,2,1995-09-10T00:00:00+00:00,Patriots,3,20,Dolphins
1995,2,1995-09-10T00:00:00+00:00,Rams,17,13,Saints
1995,2,1995-09-10T00:00:00+00:00,Redskins,8,20,Raiders
1995,2,1995-09-10T00:00:00+00:00,Vikings,20,10,Lions
1995,2,1995-09-11T00:00:00+00:00,Bears,24,27,Packers
1995,3,1995-09-17T00:00:00+00:00,49ers,28,3,Patriots
1995,3,1995-09-17T00:00:00+00:00,Bills,20,14,Colts
1995,3,1995-09-17T00:00:00+00:00,Broncos,38,31,Redskins
1995,3,1995-09-17T00:00:00+00:00,Buccaneers,6,25,Bears
1995,3,1995-09-17T00:00:00+00:00,Chiefs,23,17,Raiders
1995,3,1995-09-17T00:00:00+00:00,Eagles,21,27,Chargers
1995,3,1995-09-17T00:00:00+00:00,Jets,27,10,Jaguars
1995,3,1995-09-17T00:00:00+00:00,Lions,17,20,Cardinals
1995,3,1995-09-17T00:00:00+00:00,Oilers,7,14,Browns
1995,3,1995-09-17T00:00:00+00:00,Packers,14,6,Giants
1995,3,1995-09-17T00:00:00+00:00,Panthers,10,31,Rams
1995,3,1995-09-17T00:00:00+00:00,Saints,24,27,Falcons
1995,3,1995-09-17T00:00:00+00:00,Seahawks,24,21,Bengals
1995,3,1995-09-17T00:00:00+00:00,Vikings,17,23,Cowboys
1995,3,1995-09-18T00:00:00+00:00,Dolphins,23,10,Steelers
1995,4,1995-09-24T00:00:00+00:00,Bengals,28,38,Oilers
1995,4,1995-09-24T00:00:00+00:00,Browns,35,17,Chiefs
1995,4,1995-09-24T00:00:00+00:00,Buccaneers,14,6,Redskins
1995,4,1995-09-24T00:00:00+00:00,Chargers,17,6,Broncos
1995,4,1995-09-24T00:00:00+00:00,Cowboys,34,20,Cardinals
1995,4,1995-09-24T00:00:00+00:00,Falcons,13,3,Jets
1995,4,1995-09-24T00:00:00+00:00,Giants,45,29,Saints
1995,4,1995-09-24T00:00:00+00:00,Jaguars,14,24,Packers
1995,4,1995-09-24T00:00:00+00:00,Raiders,48,17,Eagles
1995,4,1995-09-24T00:00:00+00:00,Rams,34,28,Bears
1995,4,1995-09-24T00:00:00+00:00,Steelers,24,44,Vikings
1995,4,1995-09-25T00:00:00+00:00,Lions,27,24,49ers
1995,5,1995-10-01T00:00:00+00:00,49ers,20,6,Giants
1995,5,1995-10-01T00:00:00+00:00,Bengals,23,26,Dolphins
1995,5,1995-10-01T00:00:00+00:00,Cardinals,3,24,Chiefs
1995,5,1995-10-01T00:00:00+00:00,Colts,21,18,Rams
1995,5,1995-10-01T00:00:00+00:00,Falcons,30,17,Patriots
1995,5,1995-10-01T00:00:00+00:00,Jets,10,47,Raiders
1995,5,1995-10-01T00:00:00+00:00,Oilers,16,17,Jaguars
1995,5,1995-10-01T00:00:00+00:00,Panthers,13,20,Buccaneers
1995,5,1995-10-01T00:00:00+00:00,Redskins,27,23,Cowboys
1995,5,1995-10-01T00:00:00+00:00,Saints,10,15,Eagles
1995,5,1995-10-01T00:00:00+00:00,Seahawks,27,10,Broncos
1995,5,1995-10-01T00:00:00+00:00,Steelers,31,16,Chargers
1995,5,1995-10-02T00:00:00+00:00,Browns,19,22,Bills
1995,6,1995-10-08T00:00:00+00:00,Bears,31,27,Panthers
1995,6,1995-10-08T00:00:00+00:00,Bills,29,10,Jets
1995,6,1995-10-08T00:00:00+00:00,Buccaneers,19,16,Bengals
1995,6,1995-10-08T00:00:00+00:00,Cowboys,34,24,Packers
1995,6,1995-10-08T00:00:00+00:00,Dolphins,24,27,Colts
1995,6,1995-10-08T00:00:00+00:00,Eagles,37,34,Redskins
1995,6,1995-10-08T00:00:00+00:00,Giants,27,21,Cardinals
1995,6,1995-10-08T00:00:00+00:00,Jaguars,20,16,Steelers
1995,6,1995-10-08T00:00:00+00:00,Lions,38,20,Browns
1995,6,1995-10-08T00:00:00+00:00,Patriots,3,37,Broncos
1995,6,1995-10-08T00:00:00+00:00,Raiders,34,14,Seahawks
1995,6,1995-10-08T00:00:00+00:00,Vikings,23,17,Oilers
1995,6,1995-10-09T00:00:00+00:00,Chiefs,29,23,Chargers
1995,7,1995-10-12T00:00:00+00:00,Rams,21,19,Falcons
1995,7,1995-10-15T00:00:00+00:00,Bills,27,21,Seahawks
1995,7,1995-10-15T00:00:00+00:00,Buccaneers,20,17,Vikings
1995,7,1995-10-15T00:00:00+00:00,Cardinals,24,20,Redskins
1995,7,1995-10-15T00:00:00+00:00,Chargers,9,23,Cowboys
1995,7,1995-10-15T00:00:00+00:00,Chiefs,31,26,Patriots
1995,7,1995-10-15T00:00:00+00:00,Colts,18,17,49ers
1995,7,1995-10-15T00:00:00+00:00,Giants,14,17,Eagles
1995,7,1995-10-15T00:00:00+00:00,Jaguars,27,30,Bears
1995,7,1995-10-15T00:00:00+00:00,Packers,30,21,Lions
1995,7,1995-10-15T00:00:00+00:00,Panthers,26,15,Jets
1995,7,1995-10-15T00:00:00+00:00,Saints,33,30,Dolphins
1995,7,1995-10-16T00:00:00+00:00,Broncos,27,0,Raiders
1995,8,1995-10-19T00:00:00+00:00,Steelers,9,27,Bengals
1995,8,1995-10-22T00:00:00+00:00,Bears,35,32,Oilers
1995,8,1995-10-22T00:00:00+00:00,Broncos,7,21,Chiefs
1995,8,1995-10-22T00:00:00+00:00,Browns,15,23,Jaguars
1995,8,1995-10-22T00:00:00+00:00,Buccaneers,21,24,Falcons
