season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1980,1,1980-09-07T00:00:00+00:00,Bengals,12,17,Buccaneers
1980,1,1980-09-07T00:00:00+00:00,Bills,17,7,Dolphins
1980,1,1980-09-07T00:00:00+00:00,Cardinals,35,41,Giants
1980,1,1980-09-07T00:00:00+00:00,Chiefs,14,27,Raiders
1980,1,1980-09-07T00:00:00+00:00,Eagles,27,6,Broncos
1980,1,1980-09-07T00:00:00+00:00,Jets,14,17,Colts
1980,1,1980-09-07T00:00:00+00:00,Packers,12,6,Bears
1980,1,1980-09-07T00:00:00+00:00,Patriots,34,17,Browns
1980,1,1980-09-07T00:00:00+00:00,Rams,20,41,Lions
1980,1,1980-09-07T00:00:00+00:00,Saints,23,26,49ers
1980,1,1980-09-07T00:00:00+00:00,Seahawks,13,34,Chargers
1980,1,1980-09-07T00:00:00+00:00,Steelers,31,17,Oilers
1980,1,1980-09-07T00:00:00+00:00,Vikings,24,23,Falcons
1980,1,1980-09-08T00:00:00+00:00,Redskins,3,17,Cowboys
1980,2,1980-09-11T00:00:00+00:00,Buccaneers,10,9,Rams
1980,2,1980-09-14T00:00:00+00:00,49ers,24,21,Cardinals
1980,2,1980-09-14T00:00:00+00:00,Bears,22,3,Saints
1980,2,1980-09-14T00:00:00+00:00,Bills,20,10,Jets
1980,2,1980-09-14T00:00:00+00:00,Broncos,41,20,Cowboys
1980,2,1980-09-14T00:00:00+00:00,Chargers,30,24,Raiders
1980,2,1980-09-14T00:00:00+00:00,Chiefs,16,17,Seahawks
1980,2,1980-09-14T00:00:00+00:00,Colts,17,20,Steelers
1980,2,1980-09-14T00:00:00+00:00,Dolphins,17,16,Bengals
1980,2,1980-09-14T00:00:00+00:00,Giants,21,23,Redskins
1980,2,1980-09-14T00:00:00+00:00,Packers,7,29,Lions
1980,2,1980-09-14T00:00:00+00:00,Patriots,21,37,Falcons
1980,2,1980-09-14T00:00:00+00:00,Vikings,7,42,Eagles
1980,2,1980-09-15T00:00:00+00:00,Browns,7,16,Oilers
1980,3,1980-09-21T00:00:00+00:00,Bears,14,34,Vikings
1980,3,1980-09-21T00:00:00+00:00,Bengals,30,28,Steelers
1980,3,1980-09-21T00:00:00+00:00,Broncos,13,30,Chargers
1980,3,1980-09-21T00:00:00+00:00,Browns,20,13,Chiefs
1980,3,1980-09-21T00:00:00+00:00,Cowboys,28,17,Buccaneers
1980,3,1980-09-21T00:00:00+00:00,Falcons,17,20,Dolphins
1980,3,1980-09-21T00:00:00+00:00,Jets,27,37,49ers
1980,3,1980-09-21T00:00:00+00:00,Lions,20,7,Cardinals
1980,3,1980-09-21T00:00:00+00:00,Oilers,21,16,Colts
1980,3,1980-09-21T00:00:00+00:00,Raiders,24,21,Redskins
1980,3,1980-09-21T00:00:00+00:00,Rams,51,21,Packers
1980,3,1980-09-21T00:00:00+00:00,Saints,26,35,Bills
1980,3,1980-09-21T00:00:00+00:00,Seahawks,31,37,Patriots
1980,3,1980-09-22T00:00:00+00:00,Eagles,35,3,Giants
1980,4,1980-09-28T00:00:00+00:00,49ers,17,20,Falcons
1980,4,1980-09-28T00:00:00+00:00,Bengals,10,13,Oilers
1980,4,1980-09-28T00:00:00+00:00,Bills,24,7,Raiders
1980,4,1980-09-28T00:00:00+00:00,Buccaneers,27,34,Browns
1980,4,1980-09-28T00:00:00+00:00,Cardinals,24,14,Eagles
1980,4,1980-09-28T00:00:00+00:00,Chiefs,7,24,Chargers
1980,4,1980-09-28T00:00:00+00:00,Colts,35,21,Jets
1980,4,1980-09-28T00:00:00+00:00,Dolphins,21,16,Saints
1980,4,1980-09-28T00:00:00+00:00,Giants,7,28,Rams
